duration_ms,trials,condition,root_id,cell_type,side,rate_hz
1000.0,5,kc_set_a,720575940609959637,MBON32,left,40.2
1000.0,5,kc_set_a,720575940610647416,MBON10,right,0.2
1000.0,5,kc_set_a,720575940610964946,MBON09,right,19.8
1000.0,5,kc_set_a,720575940615221811,MBON10,right,0.6
1000.0,5,kc_set_a,720575940617302365,MBON07,left,45.4
1000.0,5,kc_set_a,720575940617552340,MBON02,right,45.8
1000.0,5,kc_set_a,720575940617749538,MBON11,right,0.4
1000.0,5,kc_set_a,720575940621828443,MBON12,left,10.4
1000.0,5,kc_set_a,720575940622979277,MBON27,left,1.6
1000.0,5,kc_set_a,720575940623182847,MBON33,left,1.6
1000.0,5,kc_set_a,720575940623201833,MBON11,left,97.2
1000.0,5,kc_set_a,720575940623377802,MBON16,left,3.0
1000.0,5,kc_set_a,720575940624185095,MBON02,left,41.2
1000.0,5,kc_set_a,720575940624539284,MBON18,left,15.0
1000.0,5,kc_set_a,720575940624590316,MBON03,right,80.0
1000.0,5,kc_set_a,720575940628734376,MBON04,right,17.2
1000.0,5,kc_set_a,720575940629422086,MBON09,left,107.0
1000.0,5,kc_set_a,720575940629856515,MBON09,left,107.0
1000.0,5,kc_set_a,720575940630075703,MBON12,left,7.4
1000.0,5,kc_set_a,720575940630496374,MBON05,right,0.2
1000.0,5,kc_set_a,720575940630864847,MBON09,right,20.8
1000.0,5,kc_set_a,720575940631177803,MBON24,left,1.2
1000.0,5,kc_set_a,720575940632118343,MBON10,left,0.6
1000.0,5,kc_set_a,720575940632535756,MBON14,left,69.8
1000.0,5,kc_set_a,720575940637902938,MBON35,left,21.2
1000.0,5,kc_set_a,720575940638028607,MBON06,right,0.8
1000.0,5,kc_set_a,720575940638774606,MBON17,left,0.8
1000.0,5,kc_set_a,720575940639556467,MBON10,right,0.6
1000.0,5,kc_set_a,720575940642142861,MBON10,left,0.6
1000.0,5,kc_set_a,720575940643696288,MBON14,left,79.6
1000.0,5,kc_set_a,720575940645304430,MBON13,left,2.4
1000.0,5,kc_set_a,720575940647328900,MBON10,right,0.6
1000.0,5,kc_set_a,720575940652390134,MBON07,left,0.2
1000.0,5,kc_set_b,720575940609959637,MBON32,left,42.4
1000.0,5,kc_set_b,720575940610964946,MBON09,right,21.6
1000.0,5,kc_set_b,720575940614595218,MBON28,left,11.0
1000.0,5,kc_set_b,720575940617302365,MBON07,left,63.8
1000.0,5,kc_set_b,720575940617552340,MBON02,right,21.8
1000.0,5,kc_set_b,720575940617567206,MBON23,left,18.0
1000.0,5,kc_set_b,720575940617749538,MBON11,right,0.4
1000.0,5,kc_set_b,720575940621828443,MBON12,left,0.4
1000.0,5,kc_set_b,720575940622979277,MBON27,left,13.4
1000.0,5,kc_set_b,720575940623182847,MBON33,left,0.4
1000.0,5,kc_set_b,720575940623201833,MBON11,left,73.4
1000.0,5,kc_set_b,720575940623377802,MBON16,left,12.4
1000.0,5,kc_set_b,720575940624185095,MBON02,left,29.8
1000.0,5,kc_set_b,720575940624539284,MBON18,left,27.0
1000.0,5,kc_set_b,720575940624590316,MBON03,right,104.8
1000.0,5,kc_set_b,720575940628734376,MBON04,right,52.4
1000.0,5,kc_set_b,720575940629422086,MBON09,left,95.0
1000.0,5,kc_set_b,720575940629856515,MBON09,left,96.6
1000.0,5,kc_set_b,720575940629981440,MBON26,left,17.8
1000.0,5,kc_set_b,720575940630075703,MBON12,left,2.4
